"","day","temp","dewp","wdsp","NUM_CRIME"
"444",6,39.5,29.6,7.3,-0.395496893754733
"445",7,38.8,25.5,9.4,-0.583861982956742
"446",1,40.1,22.9,4.8,-0.395496893754733
"447",2,52.1,30.6,11.9,-0.0860399614942892
"448",3,45.7,35.9,11,-0.570407333728027
"449",4,38.7,36.8,9.4,-0.691499176786461
"450",5,35.8,25.6,8.5,-0.166767856866579
"451",6,42.7,31.7,6.5,0.088870478479005
"452",7,50.2,37.9,7.2,-1.31041304130735
"453",1,46.2,36,9.7,0.169598373851295
"454",2,45.9,30.4,3.7,0.142689075393865
"455",3,51.4,34.1,11.2,-0.166767856866579
"456",4,60.9,54,15.2,0.344508813824589
"457",5,45.1,36.9,8.1,1.31324355829206
"458",6,36.8,23.8,16.1,-1.04132005673305
"459",7,43.1,20.7,12,-0.301314349153728
"460",1,40.4,28.1,16,-0.920228213674615
"461",2,36.1,17.5,8.5,-0.718408475243891
"462",3,46.3,36,10.6,-0.920228213674615
"463",4,41.3,33.4,11.9,0.18305302308001
"464",5,38.9,26.7,10.3,-1.37768628745092
"465",6,31.1,14.1,12.2,-0.530043386041882
"466",7,39.1,26.7,11.8,-0.328223647611158
"467",1,49.3,37.6,9.7,-0.704953826015176
"468",2,41.4,21,7.6,-0.368587595297303
"469",3,44.7,26.6,7.3,-0.193677155324009
"470",4,50.2,27.3,7.7,-0.516588736813167
"471",5,55.2,32.5,7.3,1.11142381986134
"472",6,61,38.1,6,0.0754158292502901
"473",7,64.7,38.7,6.1,-0.274405050696298
"474",1,68.2,38.1,4.8,0.12923442616515
"475",2,55.9,40,8.7,-0.341678296839873
"476",3,61.5,40.7,9.2,-0.530043386041882
"477",4,62.8,52.1,6.4,-0.193677155324009
"478",5,52.2,43.1,10.5,-0.00531206612199954
"479",6,49.4,37.7,7.2,-0.476224789127022
"480",7,59.6,42.6,7,0.357963463053304
"481",1,72.6,51.2,12,0.398327410739449
"482",2,54.5,44.6,11.8,-0.476224789127022
"483",3,46.4,39,14.1,-0.9067735644459
"484",4,47.7,41.4,9.8,0.0350518815641453
"485",5,46.7,39.7,7.9,-0.126403909180434
"486",6,46.6,40.1,11.6,-1.66023392125394
"487",7,46.9,43.7,10.6,1.21906101369106
"488",1,49.8,38.8,12.7,0.384872761510734
"489",2,55,35,5.4,0.115779776936435
"490",3,52.2,39,11.9,-0.624225930642887
"491",4,49.5,35.9,12.6,-0.422406192212163
"492",5,61.6,40.6,5.4,0.882694782973186
"493",6,65.1,40.7,12.2,0.18305302308001
"494",7,57.2,30.7,4,0.0081425831067154
"495",1,57.2,44.3,9.2,0.0350518815641453
"496",2,57.4,54.1,9.7,-0.220586453781439
"497",3,60.4,56.8,5.4,0.398327410739449
"498",4,63.4,55.8,8.4,-0.516588736813167
"499",5,59.3,43.5,9.8,1.0710598721752
"500",6,47.7,35.4,12.5,-0.0725853122655742
"501",7,47.3,26.9,8.7,0.142689075393865
"502",1,57.1,33.8,10.2,0.721238992228607
"503",2,55.4,41.3,8.4,-0.489679438355737
"504",3,54.2,36.6,6.4,0.963422678345476
"505",4,57.5,32,4.2,0.465600656883023
"506",5,60.8,37.5,6.1,1.01724127526034
"507",6,64.5,34.8,8.4,0.855785484515757
"508",7,67.2,40.7,5.4,0.290690216909729
"509",1,68.5,39.9,5.7,0.721238992228607
"510",2,75.7,45.2,8.7,1.00378662603162
"511",3,77.9,58.8,9.4,-0.112949259951719
"512",4,73.2,63.2,8.6,0.492509955340453
"513",5,76.1,64,8.7,0.963422678345476
"514",6,75.1,64.2,12.8,0.842330835287042
"515",7,74.9,59,10.7,0.936513379888046
"516",1,75.9,57.2,6.1,1.23251566291977
"517",2,73.4,56.9,7.9,0.371418112282019
"519",4,72.6,53.2,6.5,0.963422678345476
"520",5,72.7,52.1,5.3,1.2594249613772
"521",6,72.1,57,7.2,1.32669820752078
